JOB,MICHIGAN,TASKS,Hunter Bob's Bridge,0,0,425,908,Wooden Planks,4
JOB,MICHIGAN,TASKS,More Fuel,0,0,640,100,Fuel,2
JOB,MICHIGAN,TASKS,Mountain Bridge,0,0,336,327,Concrete Blocks,2,Metal Beams,1
JOB,MICHIGAN,TASKS,Of Bridges And Men,0,0,875,920,Wooden Planks,2
JOB,MICHIGAN,TASKS,Riverside Repair,0,0,73,150,Service Spare Parts,2,Wooden Planks,2
JOB,MICHIGAN,TASKS,Road Block,0,0,309,255,Service Spare Parts,2
JOB,MICHIGAN,TASKS,Rock On,0,0,935,55,Service Spare Parts,2
JOB,MICHIGAN,TASKS,Rockslide,0,0,145,135,Metal Beams,1,Service Spare Parts,1
JOB,MICHIGAN,TASKS,Smithville Bridge,0,0,778,295,Wooden Planks,2
JOB,MICHIGAN,TASKS,Solid Foundation,0,0,568,96,Concrete Slabs,1
JOB,MICHIGAN,TASKS,Support Local Rangers,0,0,839,1030,Wooden Planks,2
JOB,MICHIGAN,TASKS,Ten-Hut,0,0,903,740,Concrete Blocks,1,Concrete Slabs,1,Metal Beams,2
JOB,MICHIGAN,TASKS,The Long Way,0,0,1065,247,Service Spare Parts,2
JOB,MICHIGAN,TASKS,Tough Negotiations,0,0,465,758,Wooden Planks,2
JOB,MICHIGAN,TASKS,Well Well Well,0,0,762,29,Vehicle Spare Parts,1
JOB,MICHIGAN,TASKS,Wooden Bridge,0,0,249,248,Wooden Planks,2
